Date,bit
10-04-16,2
17-04-16,2
24-04-16,2
01-05-16,4
08-05-16,3
15-05-16,2
22-05-16,2
29-05-16,3
05-06-16,3
12-06-16,4
19-06-16,4
26-06-16,3
03-07-16,3
10-07-16,3
17-07-16,3
24-07-16,2
31-07-16,3
07-08-16,3
14-08-16,2
21-08-16,2
28-08-16,2
04-09-16,3
11-09-16,3
18-09-16,3
25-09-16,3
02-10-16,2
09-10-16,3
16-10-16,2
23-10-16,3
30-10-16,3
06-11-16,3
13-11-16,3
20-11-16,3
27-11-16,3
04-12-16,3
11-12-16,3
18-12-16,4
25-12-16,5
01-01-17,7
08-01-17,5
15-01-17,4
22-01-17,4
29-01-17,4
05-02-17,4
12-02-17,4
19-02-17,5
26-02-17,6
05-03-17,7
12-03-17,5
19-03-17,5
26-03-17,5
02-04-17,5
09-04-17,5
16-04-17,5
23-04-17,5
30-04-17,7
07-05-17,10
14-05-17,12
21-05-17,19
28-05-17,12
04-06-17,12
11-06-17,13
18-06-17,11
25-06-17,11
02-07-17,9
09-07-17,10
16-07-17,11
23-07-17,11
30-07-17,15
06-08-17,15
13-08-17,19
20-08-17,16
27-08-17,17
03-09-17,18
10-09-17,22
17-09-17,16
24-09-17,12
01-10-17,12
08-10-17,19
15-10-17,20
22-10-17,21
29-10-17,27
05-11-17,29
12-11-17,30
19-11-17,27
26-11-17,66
03-12-17,92
10-12-17,82
17-12-17,100
24-12-17,63
31-12-17,47
07-01-18,45
14-01-18,57
21-01-18,37
28-01-18,40
04-02-18,47
11-02-18,27
18-02-18,24
25-02-18,19
04-03-18,19
11-03-18,19
18-03-18,18
25-03-18,18
01-04-18,17
08-04-18,16
15-04-18,15
22-04-18,15
29-04-18,12
06-05-18,13
13-05-18,11
20-05-18,11
27-05-18,11
03-06-18,9
10-06-18,13
17-06-18,10
24-06-18,11
01-07-18,10
08-07-18,9
15-07-18,11
22-07-18,12
29-07-18,10
05-08-18,11
12-08-18,11
19-08-18,10
26-08-18,10
02-09-18,11
09-09-18,10
16-09-18,9
23-09-18,8
30-09-18,8
07-10-18,8
14-10-18,8
21-10-18,7
28-10-18,7
04-11-18,8
11-11-18,10
18-11-18,14
25-11-18,14
02-12-18,11
09-12-18,10
16-12-18,11
23-12-18,10
30-12-18,9
06-01-19,9
13-01-19,8
20-01-19,7
27-01-19,7
03-02-19,8
10-02-19,7
17-02-19,8
24-02-19,8
03-03-19,7
10-03-19,7
17-03-19,7
24-03-19,7
31-03-19,12
07-04-19,10
14-04-19,8
21-04-19,9
28-04-19,9
05-05-19,12
12-05-19,18
19-05-19,13
26-05-19,14
02-06-19,12
09-06-19,11
16-06-19,17
23-06-19,25
30-06-19,17
07-07-19,16
14-07-19,16
21-07-19,13
28-07-19,12
04-08-19,14
11-08-19,13
18-08-19,12
25-08-19,11
01-09-19,11
08-09-19,10
15-09-19,9
22-09-19,12
29-09-19,10
06-10-19,9
13-10-19,9
20-10-19,10
27-10-19,10
03-11-19,9
10-11-19,8
17-11-19,10
24-11-19,10
01-12-19,9
08-12-19,8
15-12-19,9
22-12-19,9
29-12-19,9
05-01-20,11
12-01-20,10
19-01-20,10
26-01-20,11
02-02-20,11
09-02-20,12
16-02-20,11
23-02-20,11
01-03-20,11
08-03-20,19
15-03-20,20
22-03-20,15
29-03-20,13
05-04-20,13
12-04-20,12
19-04-20,12
26-04-20,16
03-05-20,17
10-05-20,21
17-05-20,14
24-05-20,12
31-05-20,12
07-06-20,11
14-06-20,11
21-06-20,10
28-06-20,10
05-07-20,10
12-07-20,11
19-07-20,10
26-07-20,17
02-08-20,15
09-08-20,13
16-08-20,13
23-08-20,11
30-08-20,12
06-09-20,10
13-09-20,10
20-09-20,9
27-09-20,8
04-10-20,8
11-10-20,9
18-10-20,13
25-10-20,14
01-11-20,15
08-11-20,15
15-11-20,22
22-11-20,24
29-11-20,20
06-12-20,17
13-12-20,28
20-12-20,28
27-12-20,43
03-01-21,69
10-01-21,65
17-01-21,42
24-01-21,39
31-01-21,35
07-02-21,61
14-02-21,57
21-02-21,64
28-02-21,41
07-03-21,42
14-03-21,41
21-03-21,36
28-03-21,36
